,class,area,lotfrontage,quality,year_built,living_area,garage_area,year_sold,price
87,160,3951,40.0,6,2009,1224,528,2009,164500
88,50,8470,105.0,3,1915,1526,0,2009,85000
89,20,8070,60.0,4,1994,990,0,2007,123600
90,20,7200,60.0,4,1950,1040,420,2006,109900
91,20,8500,85.0,5,1961,1235,480,2006,98600
92,30,13360,80.0,5,1921,964,432,2009,163500
93,190,7200,60.0,6,1910,2291,506,2007,133900
94,60,9337,69.0,6,1997,1786,684,2007,204750
95,60,9765,70.04995836802665,6,1993,1470,420,2009,185000
96,20,10264,78.0,7,1999,1588,472,2006,214000
97,20,10921,73.0,4,1965,960,432,2007,94750
98,30,10625,85.0,5,1920,835,366,2010,83000
99,20,9320,77.0,4,1959,1225,0,2010,128950
100,20,10603,70.04995836802665,6,1977,1610,480,2010,205000
101,60,9206,77.0,6,1985,1732,476,2010,178000
102,90,7018,64.0,5,1979,1535,410,2009,118964
103,20,10402,94.0,7,2009,1226,740,2010,198900
104,50,7758,70.04995836802665,7,1931,1818,240,2007,169500
105,60,9375,75.0,8,2003,1992,648,2008,250000
106,30,10800,60.0,4,1885,1047,273,2007,100000
107,20,6000,50.0,5,1948,789,250,2008,115000
108,50,8500,85.0,5,1919,1517,0,2007,115000
109,20,11751,105.0,6,1977,1844,546,2010,190000
110,50,9525,75.0,6,1954,1855,325,2006,136900
111,80,7750,70.04995836802665,7,2000,1430,400,2010,180000
112,60,9965,77.0,7,2007,2696,792,2007,383970
113,20,21000,70.04995836802665,6,1953,2259,450,2007,217000
114,70,7259,61.0,6,1945,2320,180,2007,259500
115,160,3230,34.0,6,1999,1458,440,2007,176000
116,20,11616,70.04995836802665,5,1962,1092,288,2009,139000
117,20,8536,74.0,5,2006,1125,430,2007,155000
118,60,12376,90.0,7,1990,3222,594,2010,320000
119,60,8461,65.0,6,2005,1456,390,2006,163990
120,80,21453,70.04995836802665,6,1969,988,540,2006,180000
121,50,6060,50.0,4,1939,1123,264,2007,100000
122,20,9464,75.0,6,1958,1080,288,2008,136000
123,120,7892,55.0,6,1993,1199,530,2008,153900
124,20,17043,48.0,6,1979,1586,435,2009,181000
125,190,6780,60.0,6,1935,754,0,2006,84500
126,120,4928,70.04995836802665,6,1976,958,440,2007,128000
127,45,4388,55.0,5,1930,840,0,2007,87000
128,60,7590,69.0,6,1966,1348,453,2006,155000
129,20,8973,69.0,5,1958,1053,750,2006,150000
130,60,14200,88.0,7,1966,2157,487,2006,226000
131,60,12224,70.04995836802665,6,2000,2054,390,2009,244000
132,20,7388,75.0,5,1959,1327,624,2007,150750
133,20,6853,70.04995836802665,8,2001,1296,471,2009,220000
134,20,10335,78.0,5,1968,1721,440,2006,180000
135,20,10400,80.0,7,1970,1682,530,2008,174000
136,20,10355,70.04995836802665,5,1967,1214,318,2007,143000
137,90,11070,82.0,7,1988,1959,766,2006,171000
138,60,9066,73.0,8,1999,1852,660,2008,230000
139,60,15426,65.0,6,1997,1764,470,2009,231500
140,20,10500,70.0,4,1971,864,0,2010,115000
141,20,11645,78.0,7,2005,1734,660,2006,260000
142,50,8520,71.0,5,1952,1385,720,2010,166000
143,20,10335,78.0,7,1999,1501,577,2009,204000
144,90,9100,70.0,5,1963,1728,504,2006,125000
145,160,2522,24.0,6,2004,1709,380,2006,130000
146,30,6120,51.0,5,1931,875,180,2009,105000
147,60,9505,70.04995836802665,7,2001,2035,434,2010,222500
148,20,7500,63.0,7,2004,1080,0,2008,141000
149,50,6240,70.04995836802665,5,1936,1344,240,2006,115000
150,20,10356,120.0,5,1975,969,440,2007,122000
151,20,13891,107.0,8,2007,1710,866,2008,372402
152,60,14803,70.04995836802665,6,1971,1993,495,2006,190000
153,20,13500,70.04995836802665,6,1960,1252,564,2008,235000
154,30,11340,84.0,6,1923,1200,312,2006,125000
155,50,9600,60.0,6,1924,1096,0,2008,79000
156,20,7200,60.0,5,1950,1040,625,2006,109500
157,60,12003,92.0,8,2009,1968,680,2010,269500
158,60,12552,100.0,7,2004,1947,678,2010,254900
159,60,19378,134.0,7,2005,2462,576,2006,320000
160,20,11120,70.04995836802665,6,1984,1232,516,2008,162500
161,60,13688,110.0,9,2003,2668,726,2008,412500
162,20,12182,95.0,7,2005,1541,532,2010,220000
163,45,5500,55.0,4,1956,882,0,2007,103200
164,40,5400,40.0,6,1926,1616,216,2007,152000
165,190,10106,62.0,5,1940,1355,0,2008,127500
166,20,10708,70.04995836802665,5,1955,1867,303,2009,190000
167,60,10562,86.0,8,2007,2161,789,2007,325624
168,60,8244,62.0,7,2004,1720,440,2007,183500
169,20,16669,70.04995836802665,8,1981,1707,511,2006,228000
170,50,12358,70.04995836802665,5,1941,1382,660,2007,128500
171,20,31770,141.0,6,1960,1656,528,2010,215000
172,160,5306,44.0,7,1987,1767,504,2006,239000
173,20,10197,80.0,6,1961,1362,504,2008,163000
174,20,12416,47.0,6,1986,1651,616,2008,184000
175,20,12615,84.0,6,1950,2158,576,2007,243000
176,60,10029,97.0,6,1988,2060,521,2007,211000
177,50,13650,70.04995836802665,5,1958,1920,451,2006,172500
178,20,17423,63.0,9,2008,2234,1166,2009,501837
179,30,8520,60.0,5,1923,968,480,2007,100000
180,160,2117,70.04995836802665,6,2000,1525,440,2007,177000
181,70,7588,54.0,7,1920,1802,216,2006,200100
182,20,9060,60.0,5,1957,1340,252,2007,120000
183,50,11426,63.0,7,2003,2082,484,2008,200000
184,50,7438,92.0,5,1908,1252,576,2006,127000
185,75,22950,90.0,10,1892,3608,840,2006,475000
186,80,9947,70.04995836802665,7,1990,1217,497,2009,173000
187,50,10410,60.0,5,1916,1656,180,2009,135000
188,90,7018,64.0,5,1979,1224,528,2009,153337
189,120,4923,41.0,8,2001,1593,682,2008,286000
190,70,10570,70.0,8,1932,2727,440,2007,315000
191,60,7472,70.04995836802665,7,1972,1479,484,2007,184000
192,20,9017,68.0,7,1999,1431,666,2009,192000
193,160,2522,24.0,7,2004,1709,380,2006,130000
194,20,7180,60.0,5,1972,864,352,2008,127000
195,160,2280,24.0,6,1976,1456,440,2009,148500
196,20,9416,79.0,7,2007,1726,786,2007,311872
197,75,25419,174.0,8,1918,3112,795,2006,235000
198,75,5520,92.0,6,1912,2229,0,2009,104000
199,20,9591,76.0,8,2004,1713,856,2009,274900
200,20,8546,80.0,4,2003,1121,440,2010,140000
201,20,10125,75.0,6,1977,1279,473,2008,171500
202,50,7000,50.0,6,1924,1310,398,2006,112000
203,120,4438,70.04995836802665,6,2004,848,420,2008,149000
204,50,3500,50.0,5,1947,1284,240,2009,110000
205,20,11851,99.0,7,1990,1442,500,2009,180500
206,20,13673,40.0,5,1962,1696,349,2007,143900
207,20,12493,70.04995836802665,4,1960,1100,312,2008,141000
208,60,14364,70.04995836802665,7,1988,2062,454,2007,277000
209,20,8250,75.0,6,1964,1092,504,2008,145000
210,30,5604,67.0,5,1925,864,0,2008,98000
211,20,10420,83.0,6,2009,1212,460,2010,186000
212,60,8640,72.0,7,2009,1852,644,2009,252678
213,20,13568,43.0,5,1995,990,576,2006,156000
214,60,10900,70.04995836802665,6,1977,1392,299,2010,161750
215,20,10011,72.0,5,1957,1236,447,2006,134450
216,20,8450,65.0,7,2004,1436,484,2008,210000
217,70,9906,57.0,4,1925,1328,210,2006,107000
218,50,15660,70.04995836802665,7,1939,1954,431,2008,311500
219,120,3010,43.0,7,2005,1248,438,2006,167240
220,20,8990,73.0,7,2006,1498,675,2006,204900
221,60,8068,70.04995836802665,6,2002,2267,390,2009,200000
222,60,11475,85.0,6,1975,1552,434,2006,179900
223,20,10500,70.0,4,1971,864,576,2009,97000
224,20,13472,103.0,10,2003,2392,968,2009,386250
225,160,1680,21.0,5,1971,1302,280,2009,112000
226,60,9950,82.0,7,1995,2520,721,2007,290000
227,160,1869,21.0,6,1970,987,280,2008,106000
228,20,8521,70.0,5,1967,912,336,2010,125000
229,120,3182,43.0,7,2005,1555,430,2009,192500
230,20,8760,73.0,6,1959,1194,312,2010,148000
231,60,15138,174.0,8,1995,2794,810,2009,403000
232,160,1680,21.0,6,1972,987,288,2006,94500
233,20,10650,75.0,5,1976,894,308,2010,128200
234,60,7851,70.04995836802665,6,2002,1960,440,2010,216500
235,160,1680,21.0,6,1971,987,264,2008,89500
236,20,8773,65.0,7,2004,1414,494,2010,185500
237,60,9453,70.04995836802665,7,1993,1744,457,2010,194500
238,20,12030,93.0,8,2007,1694,818,2007,318000
239,50,8741,52.0,6,1945,1487,220,2010,113000
240,20,9000,75.0,8,2008,1566,750,2010,262500
241,30,3880,40.0,5,1945,866,0,2007,110500
242,50,5000,63.0,5,1900,1440,352,2006,79000
243,160,10762,75.0,6,1980,1217,288,2009,120000
244,60,8880,70.04995836802665,7,1994,2110,463,2010,205000
245,20,10400,80.0,7,1988,1872,604,2006,241500
246,190,9142,69.0,6,1910,1928,440,2006,137000
247,20,11310,75.0,6,1954,1375,451,2006,140000
248,60,11317,72.0,7,2003,1668,500,2007,180000
249,50,159000,70.04995836802665,6,1958,2144,389,2007,277000
250,30,5350,55.0,3,1940,1306,0,2010,76500
251,120,4750,44.0,8,2006,1625,538,2007,235000
252,60,8366,65.0,6,2004,1640,520,2008,173000
253,80,9350,85.0,6,1964,1302,309,2007,158000
254,20,8400,70.0,5,1957,1314,294,2010,145000
255,60,8738,66.0,7,1999,2291,429,2006,230000
256,60,8791,64.0,6,2003,1728,673,2008,207500
257,20,8814,68.0,7,2006,1604,660,2009,220000
258,60,12435,80.0,7,2001,1792,564,2008,231500
259,20,12702,70.0,5,1956,882,308,2008,97000
260,80,19296,120.0,6,1962,1382,884,2009,176000
261,60,9588,69.0,8,2007,2574,868,2007,276000
262,80,8471,88.0,6,1977,1212,492,2006,151000
263,50,5500,50.0,5,1929,1316,484,2010,130000
264,30,5232,30.0,5,1925,764,504,2008,73000
265,20,12090,78.0,6,1981,1422,576,2008,175500
266,60,11207,70.0,6,1997,1511,413,2006,185000
267,75,8400,60.0,5,1939,2192,240,2008,179500
268,30,6900,71.0,5,1940,778,924,2008,120500
269,20,7917,70.04995836802665,6,1976,1113,504,2007,148000
270,60,10728,84.0,8,2006,1939,1053,2006,266000
271,20,39104,73.0,7,1954,1363,439,2008,241500
272,60,11764,92.0,8,1999,2270,671,2010,290000
273,20,9600,80.0,6,1958,1632,338,2009,139000
274,20,8314,76.0,5,1982,816,264,2007,124500
275,50,7264,55.0,7,1925,1548,672,2009,205000
276,20,9196,129.0,7,2003,1560,573,2010,201000
277,20,19138,140.0,4,1951,864,400,2010,141000
278,20,14450,107.0,9,2006,2121,732,2007,415298
279,60,10005,83.0,7,1977,2022,505,2008,192000
280,60,11287,82.0,7,1989,1982,575,2007,228500
281,20,7200,60.0,6,2006,1262,572,2006,185000
282,120,5063,34.0,7,2007,1314,626,2009,207500
283,20,9612,74.0,8,2008,1468,898,2009,244600
284,120,8012,50.0,6,1992,1575,529,2007,179200
285,160,4251,35.0,7,2006,1250,528,2007,164700
286,50,9786,77.0,6,1962,1734,440,2006,159000
287,20,8125,70.04995836802665,4,1971,858,0,2006,88000
288,20,9819,70.04995836802665,5,1967,900,280,2010,122000
289,70,8730,60.0,6,1915,1396,384,2007,153575
290,60,15611,120.0,8,2006,1919,685,2006,233230
291,190,5687,55.0,5,1912,1716,0,2008,135900
292,50,11409,60.0,5,1949,1716,281,2009,131000
293,60,16659,70.04995836802665,7,1977,2263,539,2006,235000
294,20,9600,80.0,6,1953,1644,418,2009,167000
295,80,7937,37.0,6,1984,1003,588,2006,142500
296,50,13710,75.0,5,1950,1558,282,2007,152000
297,60,7399,66.0,7,1997,1950,576,2007,239000
298,60,11700,90.0,6,1968,1743,539,2007,175000
299,20,14000,80.0,6,1950,1152,300,2009,158500
300,190,15750,90.0,5,1953,1336,375,2006,157000
301,60,16226,66.0,8,1998,2452,683,2007,267000
302,20,13704,118.0,7,2001,1541,843,2006,205000
303,20,9800,70.0,5,1972,894,552,2006,149900
304,75,18386,87.0,7,1880,3493,870,2008,295000
305,20,10386,80.0,8,2004,2000,888,2007,305900
306,60,13474,116.0,7,1990,2243,746,2007,225000
307,50,7920,70.04995836802665,6,1920,1406,0,2008,89500
308,30,12342,70.04995836802665,4,1940,861,539,2009,82500
309,20,12378,90.0,9,2003,1944,708,2006,360000
310,60,7685,70.04995836802665,6,1993,1501,420,2006,165600
311,20,8000,50.0,6,1948,972,240,2009,132000
312,190,7800,65.0,5,1939,1118,410,2006,119900
313,20,215245,150.0,7,1965,2036,513,2009,375000
314,70,9600,60.0,7,1925,1641,546,2006,178000
315,60,7795,71.0,7,2004,1432,432,2009,188500
316,60,13005,94.0,7,1980,2353,484,2009,260000
317,60,9000,75.0,8,2006,1959,1025,2007,270000
318,60,9900,90.0,7,1993,2646,656,2009,260000
319,80,14115,70.04995836802665,7,1980,1472,588,2009,187500
320,60,16259,111.0,9,2006,2596,840,2006,342643
321,60,12099,99.0,8,2004,2468,872,2007,354000
322,60,10380,86.0,7,1986,2730,576,2007,301000
323,20,5820,49.0,3,1955,1163,220,2006,126175
324,80,11275,96.0,7,1967,2978,564,2010,242000
325,45,5000,50.0,5,1941,803,360,2007,87000
326,120,10846,32.0,8,1993,1719,473,2008,324000
327,20,11600,80.0,6,1960,1383,292,2006,145250
328,75,11888,70.04995836802665,6,1916,2134,441,2009,214500
329,70,6402,60.0,5,1920,1192,189,2009,78000
330,90,10624,70.04995836802665,5,1964,1728,352,2007,119000
331,20,8176,70.0,5,1958,1056,308,2007,139000
332,20,10655,85.0,8,2003,1629,880,2009,284000
333,120,8198,59.0,7,2004,1358,484,2008,207000
334,60,9042,59.0,6,1998,1638,472,2008,192000
335,190,164660,70.04995836802665,5,1965,1786,529,2008,228950
336,20,14157,86.0,9,2005,1922,676,2007,377426
337,20,9135,70.0,7,2002,1536,532,2008,214000
338,20,14145,91.0,7,1984,1621,440,2006,202500
339,20,12400,66.0,6,1958,1215,297,2009,155000
340,60,14191,85.0,8,2002,1908,431,2010,202900
341,20,8400,60.0,4,1950,841,294,2009,82000
342,90,8544,70.04995836802665,3,1949,1040,400,2006,87500
343,120,8849,63.0,9,2005,1684,564,2008,266000
344,160,2592,36.0,5,1976,1112,336,2010,85000
345,50,6435,65.0,6,1939,1577,312,2006,140200
346,20,12772,70.04995836802665,6,1960,958,301,2007,151500
347,20,17600,70.04995836802665,6,1960,1478,498,2009,157500
348,160,2448,36.0,7,2003,1626,474,2008,154000
349,60,20431,56.0,9,2005,2728,706,2006,437154
350,120,7820,68.0,9,2007,1869,617,2007,318061
351,120,5271,70.04995836802665,7,1986,1453,445,2006,190000
352,50,9084,60.0,5,1941,1111,200,2008,95000
353,30,8520,60.0,6,1928,720,484,2010,105900
354,50,8400,60.0,6,1940,1595,240,2006,140000
355,20,11249,105.0,6,1995,1200,521,2007,177500
356,20,9248,70.04995836802665,6,1992,1167,400,2009,173000
357,120,4224,44.0,5,1976,1142,528,2007,134000
358,80,6930,92.0,5,1958,1352,288,2006,130000
359,60,12011,78.0,8,1998,1924,592,2006,280000
360,85,7540,70.04995836802665,6,1978,912,470,2007,156000
361,50,9144,70.04995836802665,5,1940,1505,240,2008,145000
362,85,7301,64.0,7,2003,1922,672,2009,198500
363,160,1680,21.0,6,1972,987,264,2009,118000
364,60,18800,70.04995836802665,6,1976,1574,566,2006,190000
365,70,10690,59.0,5,1920,1344,468,2009,147000
366,20,9500,70.04995836802665,6,1963,1394,514,2009,159000
367,80,9150,101.0,6,1962,1431,296,2008,165000
368,20,7800,78.0,5,1954,1268,244,2010,132000
369,20,9830,70.04995836802665,5,1959,1287,576,2010,162000
370,60,8121,70.04995836802665,6,2000,1664,460,2006,172400
371,50,17120,80.0,4,1959,1588,680,2008,134432
372,120,7175,50.0,6,1984,752,264,2010,125000
373,20,10634,79.0,5,1953,1319,270,2009,123000
374,60,8200,65.0,7,2003,1928,434,2007,219500
375,30,10020,70.04995836802665,1,1922,904,0,2009,61000
376,85,8846,57.0,5,1996,914,576,2006,148000
377,60,11143,102.0,8,2004,2466,610,2007,340000
378,20,11394,88.0,9,2010,1856,834,2010,394432
379,60,8123,60.0,6,2000,1800,463,2009,179000
380,50,5000,50.0,5,1924,1691,308,2010,127000
381,20,7200,60.0,7,2006,1301,572,2006,187750
382,60,9245,79.0,7,2006,1797,639,2007,213500
383,45,9000,60.0,6,1928,784,360,2009,76000
384,60,53107,70.04995836802665,6,1992,1953,501,2007,240000
385,120,3182,43.0,8,2004,1269,430,2010,192000
386,50,8410,58.0,5,1910,1184,0,2006,81000
387,80,7200,72.0,6,1976,1125,352,2009,125000
388,20,9382,93.0,7,1999,1479,577,2008,191000
389,60,12474,96.0,10,2007,2332,846,2008,426000
390,50,8405,50.0,5,1900,1367,384,2008,119000
391,60,12209,71.0,6,2001,1961,560,2009,215000
392,20,8339,70.04995836802665,5,1959,882,294,2007,106500
393,30,7446,70.04995836802665,4,1941,788,0,2006,100000
394,50,10134,60.0,5,1940,1034,240,2007,109000
395,20,9571,68.0,5,1956,1144,596,2010,129000
396,20,7200,60.0,5,1972,894,600,2009,123000
397,60,7590,69.0,5,1962,1812,264,2007,169500
398,30,8967,60.0,5,1920,1077,338,2007,67000
399,60,8125,65.0,7,2006,1550,438,2009,241000
400,120,14963,38.0,8,1996,1288,500,2008,245500
401,20,8767,65.0,7,2005,1310,400,2006,164990
402,30,10200,60.0,5,1940,672,240,2008,108000
403,60,12090,93.0,8,1998,2263,420,2006,258000
404,60,10364,70.04995836802665,6,1995,1572,373,2007,168000
405,20,9991,70.04995836802665,4,1976,1620,490,2009,150000
406,50,10480,51.0,6,1936,1639,240,2008,115000
407,70,15576,63.0,6,1915,1680,308,2008,177000
408,60,14154,109.0,7,2006,2172,947,2007,280000
409,60,10800,85.0,8,2007,2078,836,2008,339750
410,20,9571,68.0,5,1958,1276,350,2009,60000
411,190,34650,100.0,5,1955,1056,572,2006,145000
412,20,4403,70.04995836802665,7,2009,1478,484,2010,222000
413,30,8960,56.0,5,1927,1028,360,2010,115000
414,60,11228,59.0,7,1993,2097,678,2008,228000
415,20,8899,73.0,7,2007,1340,396,2007,181134
416,60,7844,74.0,6,1978,1400,440,2006,149500
417,70,22420,86.0,6,1918,2624,864,2007,239000
418,50,8160,60.0,5,1940,1134,240,2007,126000
419,20,8450,65.0,5,1968,1056,304,2010,142000
420,90,7060,78.0,7,1997,1344,784,2008,206300
421,20,16635,70.04995836802665,6,1977,1602,529,2009,215000
422,20,21750,100.0,5,1954,988,520,2008,113000
423,60,9200,80.0,8,1998,2630,696,2008,315000
424,20,9000,72.0,6,1956,1196,297,2008,139000
425,60,3378,60.0,7,1946,1389,240,2009,135000
426,80,12800,70.04995836802665,7,1989,1644,569,2009,275000
427,20,8593,77.0,4,1957,907,352,2008,109008
428,20,6762,64.0,7,2007,1208,628,2007,195400
429,20,11457,130.0,6,1988,1412,576,2009,175000
430,160,1680,21.0,6,1971,987,264,2008,85400
431,50,5586,60.0,6,1920,1198,0,2008,79900
432,160,1920,24.0,5,1971,1365,440,2007,122500
433,60,10839,100.0,6,1997,1604,470,2008,181000
434,180,1890,21.0,4,1972,630,0,2008,81000
435,60,10667,43.0,7,1996,1661,550,2009,212000
436,50,4400,40.0,6,1920,1118,440,2006,116000
437,45,6000,50.0,6,1926,904,180,2009,119000
438,30,4280,40.0,5,1913,694,352,2007,90350
439,50,12354,67.0,6,1920,1196,528,2009,110000
440,20,15431,105.0,10,2008,2402,672,2009,555000
441,90,12108,92.0,4,1955,1440,0,2008,118000
442,50,6240,52.0,5,1930,1573,360,2008,162900
443,120,3922,53.0,7,2006,1258,648,2007,172500
444,60,8750,70.0,7,1994,1908,493,2008,210000
445,20,9855,73.0,6,1956,1689,480,2009,127500
446,20,16492,137.0,6,1966,1888,578,2010,190000
447,60,11214,70.04995836802665,7,1998,1886,431,2006,199900
448,50,8600,50.0,6,1937,1376,198,2006,119500
449,50,6000,50.0,3,1948,1183,308,2007,120000
450,30,5684,70.0,6,1930,813,270,2006,110000
451,20,70761,62.0,7,1975,1533,576,2006,280000
452,60,9303,70.04995836802665,6,1996,1756,422,2007,204000
453,60,9000,75.0,8,2008,1590,676,2009,210000
454,90,9297,63.0,5,1976,1728,560,2006,188000
455,20,9600,80.0,7,1973,1242,528,2007,175500
456,70,4571,34.0,5,1916,1344,513,2008,98000
457,20,53227,70.04995836802665,4,1954,1663,529,2008,256000
458,70,5100,70.04995836802665,8,1925,1666,228,2008,161000
459,50,7015,70.04995836802665,5,1950,1203,352,2009,110000
460,60,8004,75.0,8,2009,1935,552,2009,263435
461,70,7200,60.0,7,1936,1135,576,2009,155000
462,20,8281,60.0,5,1965,864,360,2009,62383
463,70,11988,74.0,6,1934,1660,240,2008,188700
464,20,8430,60.0,5,1978,1040,0,2009,124000
465,120,3072,70.04995836802665,7,2004,1414,398,2006,178740
466,20,10628,85.0,7,1970,1277,526,2007,167000
467,70,9480,79.0,5,1942,1644,312,2007,146500
468,20,11428,98.0,8,2006,1634,866,2007,250000
469,60,9291,76.0,6,1993,1710,506,2008,187000
470,120,6820,70.04995836802665,8,1985,1502,528,2010,212000
471,60,11952,92.0,7,1977,1969,534,2007,190000
472,180,3675,35.0,6,2005,1072,525,2008,148000
473,20,14977,110.0,8,2006,1976,908,2007,440000
474,120,5330,41.0,8,2000,1652,499,2007,251000
475,20,8480,80.0,5,1963,970,624,2007,132500
476,20,13125,75.0,6,1997,1493,508,2008,208900
477,60,13693,105.0,9,2006,2643,694,2007,380000
478,20,10637,79.0,8,2007,1718,826,2009,297000
479,30,5925,50.0,4,1937,1131,672,2007,89471
480,20,16033,98.0,9,2004,1850,772,2006,326000
481,20,11846,72.0,9,2003,1792,874,2006,374000
482,70,2500,50.0,7,1915,1826,164,2009,155000
483,120,4500,32.0,6,1998,1216,402,2006,164000
484,20,7758,70.04995836802665,5,1962,999,264,2007,132500
485,20,9600,80.0,5,1950,1113,264,2009,147000
486,20,10289,79.0,5,1965,1073,515,2007,156000
487,20,12243,70.0,5,1971,1484,487,2007,175000
488,190,10800,60.0,5,1900,2414,520,2006,160000
489,180,1526,21.0,4,1970,630,286,2009,86000
490,160,2665,70.04995836802665,5,1976,1304,336,2008,115000
491,50,9490,79.0,6,1941,1578,240,2006,133000
492,60,15578,105.0,6,2006,1456,429,2006,172785
493,20,7931,70.0,5,1960,1269,308,2008,155000
494,30,5784,50.0,5,1938,886,273,2009,91300
495,30,7879,60.0,4,1920,720,0,2009,34900
496,20,12692,70.04995836802665,8,1992,3228,546,2007,430000
497,50,9120,60.0,7,1925,1820,240,2008,184000
498,20,7800,65.0,5,1967,899,288,2009,130000
499,20,7535,70.0,5,1958,912,297,2007,120000
500,160,1890,21.0,6,1973,1218,264,2007,113000
501,60,9803,75.0,7,2005,1768,603,2008,226700
502,20,9170,70.0,5,1965,1214,461,2007,140000
503,20,15602,100.0,7,1959,1801,484,2010,289000
504,160,2308,24.0,6,1974,1322,440,2009,147000
